Время: 2025-03-01T16:05:56+03:00| Маршрут: app | Метод: undefined | Сообщение: ERROR: Ошибка при Соединение с БД <shop>, код ошибки SequelizeConnectionError: getaddrinfo EAI_AGAIN db |
Время: 2025-03-01T16:06:56+03:00| Маршрут: app | Метод:  | Сообщение: OK: Соединение с БД <shop> было успешно установлено! |
Время: 2025-03-01T16:33:03+03:00| Маршрут: app | Метод:  | Сообщение: OK: Соединение с БД <shop> было успешно установлено! |
Время: 2025-03-01T16:34:35+03:00| Маршрут: app | Метод:  | Сообщение: OK: Соединение с БД <shop> было успешно установлено! |
Время: 2025-03-01T16:37:45+03:00| Маршрут: app | Метод:  | Сообщение: OK: Соединение с БД <shop> было успешно установлено! |
Время: 2025-03-01T16:38:10+03:00| Маршрут: app | Метод:  | Сообщение: OK: Соединение с БД <shop> было успешно установлено! |
Время: 2025-03-01T16:39:21+03:00| Маршрут: app | Метод:  | Сообщение: OK: Соединение с БД <shop> было успешно установлено! |
Время: 2025-03-01T16:39:34+03:00| Маршрут: app | Метод:  | Сообщение: OK: Соединение с БД <shop> было успешно установлено! |
Время: 2025-03-01T16:40:19+03:00| Маршрут: app | Метод:  | Сообщение: OK: Соединение с БД <shop> было успешно установлено! |
Время: 2025-03-01T16:40:27+03:00| Маршрут: app | Метод:  | Сообщение: OK: Соединение с БД <shop> было успешно установлено! |
Время: 2025-03-01T16:40:48+03:00| Маршрут: app | Метод:  | Сообщение: OK: Соединение с БД <shop> было успешно установлено! |
Время: 2025-03-01T16:40:56+03:00| Маршрут: app | Метод:  | Сообщение: OK: Соединение с БД <shop> было успешно установлено! |
Время: 2025-03-01T16:46:38+03:00| Маршрут: app | Метод:  | Сообщение: OK: Соединение с БД <shop> было успешно установлено! |
Время: 2025-03-01T16:46:48+03:00| Маршрут: app | Метод:  | Сообщение: OK: Соединение с БД <shop> было успешно установлено! |
Время: 2025-03-01T16:47:06+03:00| Маршрут: app | Метод:  | Сообщение: OK: Соединение с БД <shop> было успешно установлено! |
Время: 2025-03-01T16:49:53+03:00| Маршрут: app | Метод:  | Сообщение: OK: Соединение с БД <shop> было успешно установлено! |
Время: 2025-03-01T16:50:46+03:00| Маршрут: app | Метод:  | Сообщение: OK: Соединение с БД <shop> было успешно установлено! |
Время: 2025-03-01T16:52:12+03:00| Маршрут: app | Метод:  | Сообщение: OK: Соединение с БД <shop> было успешно установлено! |
Время: 2025-03-01T16:53:01+03:00| Маршрут: app | Метод:  | Сообщение: OK: Соединение с БД <shop> было успешно установлено! |
Время: 2025-03-01T16:53:56+03:00| Маршрут: app | Метод:  | Сообщение: Соединение с БД <shop> было успешно установлено! |
Время: 2025-03-01T16:55:33+03:00| Маршрут: app | Метод:  | Сообщение: Соединение с БД <shop> было успешно установлено! |
Время: 2025-03-01T16:56:03+03:00| Маршрут: app | Метод:  | Сообщение: Соединение с БД <shop> было успешно установлено! |
Время: 2025-03-01T16:56:44+03:00| Маршрут: app | Метод:  | Сообщение: Соединение с БД <shop> было успешно установлено! |
Время: 2025-03-01T16:58:39+03:00| Маршрут: app | Метод:  | Сообщение: Соединение с БД <shop> было успешно установлено! |
Время: 2025-03-01T16:59:06+03:00| Маршрут: app | Метод:  | Сообщение: Соединение с БД <shop> было успешно установлено! |
Время: 2025-03-01T16:59:21+03:00| Маршрут: app | Метод:  | Сообщение: Соединение с БД <shop> было успешно установлено! |
Время: 2025-03-01T16:59:52+03:00| Маршрут: app | Метод:  | Сообщение: Соединение с БД <shop> было успешно установлено |
Время: 2025-03-01T17:01:19+03:00| Маршрут: app | Метод:  | Сообщение: Соединение с БД <shop> было успешно установлено |
Время: 2025-03-01T17:02:55+03:00| Маршрут: app | Метод:  | Сообщение: Соединение с БД <shop> было успешно установлено |
Время: 2025-03-01T17:03:10+03:00| Маршрут: app | Метод:  | Сообщение: Соединение с БД <shop> было успешно установлено |
Время: 2025-03-01T17:04:40+03:00| Маршрут: app | Метод:  | Сообщение: Соединение с БД <shop> было успешно установлено |
Время: 2025-03-01T17:05:23+03:00| Маршрут: app | Метод:  | Сообщение: Соединение с БД <shop> было успешно установлено |
Время: 2025-03-01T17:05:33+03:00| Маршрут: app | Метод:  | Сообщение: Соединение с БД <shop> было успешно установлено |
Время: 2025-03-01T17:05:47+03:00| Маршрут: app | Метод:  | Сообщение: Соединение с БД <shop> было успешно установлено |
Время: 2025-03-01T17:12:17+03:00| Маршрут: app | Метод:  | Сообщение: Соединение с БД <shop> было успешно установлено |
Время: 2025-03-01T17:15:07+03:00| Маршрут: app | Метод: undefined | Сообщение: Ошибка при Соединение с БД <shop>, код ошибки SequelizeDatabaseError: function uuid_generate_v4() does not exist |
Время: 2025-03-01T17:15:19+03:00| Маршрут: app | Метод:  | Сообщение: Соединение с БД <shop> было успешно установлено |
Время: 2025-03-01T17:16:30+03:00| Маршрут: app | Метод:  | Сообщение: Соединение с БД <shop> было успешно установлено |
Время: 2025-03-01T17:16:34+03:00| Маршрут: app | Метод:  | Сообщение: Соединение с БД <shop> было успешно установлено |
Время: 2025-03-01T17:17:58+03:00| Маршрут: app | Метод:  | Сообщение: Соединение с БД <shop> было успешно установлено |
Время: 2025-03-01T17:18:17+03:00| Маршрут: app | Метод: undefined | Сообщение: Ошибка при Соединение с БД <shop>, код ошибки SequelizeConnectionError: database "shop" does not exist |
Время: 2025-03-01T17:18:33+03:00| Маршрут: app | Метод: undefined | Сообщение: Ошибка при Соединение с БД <shop>, код ошибки SequelizeDatabaseError: function uuid_generate_v4() does not exist |
Время: 2025-03-01T17:18:48+03:00| Маршрут: app | Метод:  | Сообщение: Соединение с БД <shop> было успешно установлено |
Время: 2025-03-01T17:25:10+03:00| Маршрут: app | Метод:  | Сообщение: Соединение с БД <shop> было успешно установлено |
Время: 2025-03-01T17:25:25+03:00| Маршрут: app | Метод:  | Сообщение: Соединение с БД <shop> было успешно установлено |
Время: 2025-03-01T17:25:56+03:00| Маршрут: app | Метод:  | Сообщение: Соединение с БД <shop> было успешно установлено |
Время: 2025-03-01T17:26:28+03:00| Маршрут: app | Метод:  | Сообщение: Соединение с БД <shop> было успешно установлено |
