Время: 2025-03-02T11:35:20+03:00| Маршрут: app | Метод:  | Сообщение: Соединение с БД <shop> было успешно установлено |
Время: 2025-03-02T13:31:05+03:00| Маршрут: app | Метод: undefined | Сообщение: Ошибка при Соединение с БД <shop>, код ошибки SequelizeConnectionRefusedError: connect ECONNREFUSED 0.0.0.0:1996 |
Время: 2025-03-02T13:31:19+03:00| Маршрут: app | Метод: undefined | Сообщение: Ошибка при Соединение с БД <shop>, код ошибки SequelizeConnectionRefusedError: connect ECONNREFUSED 0.0.0.0:1996 |
Время: 2025-03-02T13:31:23+03:00| Маршрут: app | Метод: undefined | Сообщение: Ошибка при Соединение с БД <shop>, код ошибки SequelizeConnectionRefusedError: connect ECONNREFUSED 0.0.0.0:1996 |
Время: 2025-03-02T13:31:58+03:00| Маршрут: app | Метод: undefined | Сообщение: Ошибка при Соединение с БД <shop>, код ошибки SequelizeConnectionRefusedError: connect ECONNREFUSED 0.0.0.0:1996 |
Время: 2025-03-02T13:36:55+03:00| Маршрут: app | Метод: undefined | Сообщение: Ошибка при Соединение с БД <shop>, код ошибки SequelizeConnectionRefusedError: connect ECONNREFUSED 0.0.0.0:1996 |
Время: 2025-03-02T13:38:59+03:00| Маршрут: app | Метод: undefined | Сообщение: Ошибка при Соединение с БД <shop>, код ошибки SequelizeConnectionRefusedError: connect ECONNREFUSED 127.0.0.1:1996 |
Время: 2025-03-02T13:39:15+03:00| Маршрут: app | Метод:  | Сообщение: Соединение с БД <shop> было успешно установлено |
Время: 2025-03-02T13:39:55+03:00| Маршрут: app | Метод:  | Сообщение: Соединение с БД <shop> было успешно установлено |
Время: 2025-03-02T13:40:04+03:00| Маршрут: app | Метод:  | Сообщение: Соединение с БД <shop> было успешно установлено |
Время: 2025-03-02T13:41:25+03:00| Маршрут: app | Метод:  | Сообщение: Соединение с БД <shop> было успешно установлено |
Время: 2025-03-02T13:41:46+03:00| Маршрут: app | Метод:  | Сообщение: Соединение с БД <shop> было успешно установлено |
Время: 2025-03-02T13:42:51+03:00| Маршрут: app | Метод:  | Сообщение: Соединение с БД <shop> было успешно установлено |
Время: 2025-03-02T13:43:09+03:00| Маршрут: app | Метод:  | Сообщение: Соединение с БД <shop> было успешно установлено |
Время: 2025-03-02T13:44:10+03:00| Маршрут: app | Метод:  | Сообщение: Соединение с БД <shop> было успешно установлено |
Время: 2025-03-02T13:48:12+03:00| Маршрут: app | Метод:  | Сообщение: Соединение с БД <shop> было успешно установлено |
Время: 2025-03-02T13:48:29+03:00| Маршрут: app | Метод:  | Сообщение: Соединение с БД <shop> было успешно установлено |
Время: 2025-03-02T14:15:17+03:00| Маршрут: app | Метод:  | Сообщение: Соединение с БД <shop> было успешно установлено |
Время: 2025-03-02T22:50:04+03:00| Маршрут: app | Метод:  | Сообщение: Соединение с БД <shop> было успешно установлено |
Время: 2025-03-02T22:50:52+03:00| Маршрут: app | Метод:  | Сообщение: Соединение с БД <shop> было успешно установлено |
Время: 2025-03-02T22:51:10+03:00| Маршрут: app | Метод:  | Сообщение: Соединение с БД <shop> было успешно установлено |
